strategy,prob,outcome,amount
MLExpectedValue,0.4457933557139899,1,431.98
SmartHeuristic,0.18413674053668713,0,49.76
MLProbability,0.19975921072404787,1,49.76
MLExpectedValue,0.19975921072404787,1,49.76
SmartHeuristic,0.171432424846012,0,715.1
MLProbability,0.18550970228407368,0,715.1
MLExpectedValue,0.18550970228407368,0,715.1
SmartHeuristic,0.19298065654784238,0,163.91
MLProbability,0.20963155082970672,0,163.91
MLExpectedValue,0.20963155082970672,0,163.91
SmartHeuristic,0.1702869906740068,1,586.4
MLProbability,0.18422117019289577,0,586.4
MLExpectedValue,0.18422117019289577,0,586.4
SmartHeuristic,0.1972729770870068,1,41.53
MLProbability,0.21440850691373484,1,41.53
MLExpectedValue,0.21440850691373484,1,41.53
SmartHeuristic,0.17354324161057783,1,36.82
MLProbability,0.18788261650437735,0,36.82
MLExpectedValue,0.18788261650437735,0,36.82
SmartHeuristic,0.16933596317067973,1,83.06
MLProbability,0.18025504412575785,1,83.06
MLExpectedValue,0.18025504412575785,1,83.06
SmartHeuristic,0.1500727680983405,1,549.23
MLProbability,0.18581796056457514,1,549.23
MLExpectedValue,0.18581796056457514,1,549.23
SmartHeuristic,0.32262100645505404,1,252.9
MLProbability,0.34937262692330334,1,252.9
MLExpectedValue,0.34937262692330334,1,252.9
SmartHeuristic,0.2612307424426802,0,359.15
MLProbability,0.28439124060238247,1,359.15
MLExpectedValue,0.28439124060238247,1,359.15
SmartHeuristic,0.1445233323112977,0,751.14
MLProbability,0.15508865250815929,0,751.14
MLExpectedValue,0.15508865250815929,0,751.14
SmartHeuristic,0.16134548492924242,0,426.2
MLProbability,0.17145635966222628,0,426.2
MLExpectedValue,0.17145635966222628,0,426.2
SmartHeuristic,0.16817459325555204,0,196.16
MLProbability,0.18184328509642883,0,196.16
MLExpectedValue,0.18184328509642883,0,196.16
SmartHeuristic,0.18632164371110566,0,222.26
MLProbability,0.20220187694797728,0,222.26
MLExpectedValue,0.20220187694797728,0,222.26
SmartHeuristic,0.277248576033626,0,31.22
MLProbability,0.3015543696549131,0,31.22
MLExpectedValue,0.3015543696549131,0,31.22
SmartHeuristic,0.27871404480855727,1,34.2
MLProbability,0.27871404480855727,1,34.2
MLExpectedValue,0.27871404480855727,1,34.2
SmartHeuristic,0.173819462100073,1,491.8
MLProbability,0.1881929798636562,1,491.8
MLExpectedValue,0.1881929798636562,1,491.8
SmartHeuristic,0.37379903830963696,0,885.04
MLProbability,0.4019236221146495,1,885.04
MLExpectedValue,0.4019236221146495,1,885.04
SmartHeuristic,0.18365888410625464,0,73.71
MLProbability,0.1992246609575952,0,73.71
MLExpectedValue,0.1992246609575952,0,73.71
SmartHeuristic,0.16764153749315952,0,207.52
MLProbability,0.18124291187182334,0,207.52
MLExpectedValue,0.18124291187182334,0,207.52
SmartHeuristic,0.1849812516223894,0,372.71
MLProbability,0.2007036364896811,0,372.71
MLExpectedValue,0.2007036364896811,0,372.71
SmartHeuristic,0.18436720089517947,0,159.78
MLProbability,0.2000169723849375,0,159.78
MLExpectedValue,0.2000169723849375,0,159.78
SmartHeuristic,0.3907524262752736,0,281.24
MLProbability,0.41901940848678815,1,281.24
MLExpectedValue,0.41901940848678815,1,281.24
SmartHeuristic,0.18929482098533176,0,310.25
MLProbability,0.20552194435879487,0,310.25
MLExpectedValue,0.20552194435879487,0,310.25
SmartHeuristic,0.2956303075434091,0,689.82
MLProbability,0.3210686755198409,0,689.82
MLExpectedValue,0.3210686755198409,0,689.82
SmartHeuristic,0.15686311613210072,1,632.21
MLProbability,0.16907635935288512,0,632.21
MLExpectedValue,0.16907635935288512,0,632.21
SmartHeuristic,0.17994718991369194,0,392.2
MLProbability,0.19506875440246582,1,392.2
MLExpectedValue,0.19506875440246582,1,392.2
SmartHeuristic,0.30700279591147184,0,61.38
MLProbability,0.3330449807458467,0,61.38
MLExpectedValue,0.3330449807458467,0,61.38
SmartHeuristic,0.41065583195290567,0,405.74
MLProbability,0.41065583195290567,0,405.74
MLExpectedValue,0.41065583195290567,0,405.74
SmartHeuristic,0.2640972733767552,0,483.36
MLProbability,0.28747357327263723,0,483.36
MLExpectedValue,0.28747357327263723,0,483.36
SmartHeuristic,0.18366060833118708,1,429.25
MLProbability,0.19597166994033605,0,429.25
MLExpectedValue,0.19597166994033605,0,429.25
SmartHeuristic,0.19334221662872325,0,77.16
MLProbability,0.21003430345109206,0,77.16
MLExpectedValue,0.21003430345109206,0,77.16
SmartHeuristic,0.27885308706145656,1,420.15
MLProbability,0.30326547274038007,1,420.15
MLExpectedValue,0.30326547274038007,1,420.15
SmartHeuristic,0.19239184759761374,0,31.13
MLProbability,0.2089755141484288,0,31.13
MLExpectedValue,0.2089755141484288,0,31.13
SmartHeuristic,0.16986054052470448,0,577.11
MLProbability,0.18374128879686594,0,577.11
MLExpectedValue,0.18374128879686594,0,577.11
SmartHeuristic,0.18808277984980323,1,64.38
MLProbability,0.20416903203046807,0,64.38
MLExpectedValue,0.20416903203046807,0,64.38
SmartHeuristic,0.2840627819060575,0,141.36
MLProbability,0.3088110567948564,0,141.36
MLExpectedValue,0.3088110567948564,0,141.36
SmartHeuristic,0.17026586085219145,0,73.38
MLProbability,0.184197394929552,0,73.38
MLExpectedValue,0.184197394929552,0,73.38
SmartHeuristic,0.31655047183670765,0,78.2
MLProbability,0.31655047183670765,0,78.2
MLExpectedValue,0.31655047183670765,0,78.2
SmartHeuristic,0.16038154720582684,0,256.0
MLProbability,0.2002429805180603,0,256.0
MLExpectedValue,0.2002429805180603,0,256.0
SmartHeuristic,0.3794507616572731,0,187.19
MLProbability,0.4076397024391665,0,187.19
MLExpectedValue,0.4076397024391665,0,187.19
SmartHeuristic,0.17361099659807516,0,47.75
MLProbability,0.1879587498400963,1,47.75
MLExpectedValue,0.1879587498400963,1,47.75
SmartHeuristic,0.1872648405793172,1,124.49
MLProbability,0.20325560482598234,0,124.49
MLExpectedValue,0.20325560482598234,0,124.49
SmartHeuristic,0.37808092274583754,1,403.74
MLProbability,0.40625582421046325,1,403.74
MLExpectedValue,0.40625582421046325,1,403.74
SmartHeuristic,0.17605891763433368,0,295.54
MLProbability,0.1907079110064946,1,295.54
MLExpectedValue,0.1907079110064946,1,295.54
SmartHeuristic,0.18966065110131164,0,254.82
MLProbability,0.20593014649081098,0,254.82
MLExpectedValue,0.20593014649081098,0,254.82
SmartHeuristic,0.33986772540722726,0,30.3
MLProbability,0.36724331867433097,1,30.3
MLExpectedValue,0.36724331867433097,1,30.3
SmartHeuristic,0.28859261638936834,0,580.69
MLProbability,0.31362027425224204,0,580.69
MLExpectedValue,0.31362027425224204,0,580.69
SmartHeuristic,0.3791829642560019,1,229.51
MLProbability,0.4073692386854372,0,229.51
MLExpectedValue,0.4073692386854372,0,229.51
SmartHeuristic,0.18183843297062166,0,309.51
MLProbability,0.19718718986826214,0,309.51
MLExpectedValue,0.19718718986826214,0,309.51
SmartHeuristic,0.17104565416675124,0,46.04
MLProbability,0.18507468088181048,1,46.04
MLExpectedValue,0.18507468088181048,1,46.04
SmartHeuristic,0.32120547224559004,0,475.17
MLProbability,0.34789847646560645,1,475.17
MLExpectedValue,0.34789847646560645,1,475.17
SmartHeuristic,0.15890035221915735,1,816.78
MLProbability,0.17137980671998365,0,816.78
MLExpectedValue,0.17137980671998365,0,816.78
SmartHeuristic,0.3826911182602532,1,749.36
MLProbability,0.4109093131605471,0,749.36
MLExpectedValue,0.4109093131605471,0,749.36
SmartHeuristic,0.19683292070802155,1,29.5
MLProbability,0.21391920751074567,0,29.5
MLExpectedValue,0.21391920751074567,0,29.5
SmartHeuristic,0.3090502790459111,0,505.83
MLProbability,0.33519334346619006,0,505.83
MLExpectedValue,0.33519334346619006,0,505.83
SmartHeuristic,0.36760845499682626,1,378.11
MLProbability,0.39564297085478883,1,378.11
MLExpectedValue,0.39564297085478883,1,378.11
SmartHeuristic,0.14882838090988643,1,584.95
MLProbability,0.15997526959776337,0,584.95
MLExpectedValue,0.15997526959776337,0,584.95
SmartHeuristic,0.3828652672213886,0,141.76
MLProbability,0.4110848772136495,0,141.76
MLExpectedValue,0.4110848772136495,0,141.76
SmartHeuristic,0.17122756312668902,0,886.54
MLProbability,0.18233473770257572,1,886.54
MLExpectedValue,0.18233473770257572,1,886.54
SmartHeuristic,0.18874479157221227,0,68.17
MLProbability,0.204908079683483,0,68.17
MLExpectedValue,0.204908079683483,0,68.17
SmartHeuristic,0.3807519867147697,0,475.23
MLProbability,0.40895334242916276,0,475.23
MLExpectedValue,0.40895334242916276,0,475.23
SmartHeuristic,0.19441615249535643,0,141.16
MLProbability,0.2112301931595288,0,141.16
MLExpectedValue,0.2112301931595288,0,141.16
SmartHeuristic,0.3130616665536517,0,502.7
MLProbability,0.3393954689185961,1,502.7
MLExpectedValue,0.3393954689185961,1,502.7
SmartHeuristic,0.16334715731039684,0,355.71
MLProbability,0.17640154739552388,0,355.71
MLExpectedValue,0.17640154739552388,0,355.71
SmartHeuristic,0.3804343680755201,0,31.81
MLProbability,0.40863277611912857,0,31.81
MLExpectedValue,0.40863277611912857,0,31.81
SmartHeuristic,0.18192658607339166,0,247.39
MLProbability,0.1972858897190877,0,247.39
MLExpectedValue,0.1972858897190877,0,247.39
SmartHeuristic,0.15032253781530283,0,865.64
MLProbability,0.16166965131426758,0,865.64
MLExpectedValue,0.16166965131426758,0,865.64
SmartHeuristic,0.27045009319518676,0,222.91
MLProbability,0.27045009319518676,0,222.91
MLExpectedValue,0.27045009319518676,0,222.91
SmartHeuristic,0.3803141872120827,1,50.79
MLProbability,0.4085114659877534,1,50.79
MLExpectedValue,0.4085114659877534,1,50.79
SmartHeuristic,0.1685888749634755,0,193.36
MLProbability,0.18230979533589192,0,193.36
MLExpectedValue,0.18230979533589192,0,193.36
SmartHeuristic,0.17260961870336042,1,619.43
MLProbability,0.18683332467442418,0,619.43
MLExpectedValue,0.18683332467442418,0,619.43
SmartHeuristic,0.3114142034073536,0,96.41
MLProbability,0.33767077549407565,1,96.41
MLExpectedValue,0.33767077549407565,1,96.41
SmartHeuristic,0.1988881680505074,0,24.7
MLProbability,0.21620356791255496,1,24.7
MLExpectedValue,0.21620356791255496,1,24.7
SmartHeuristic,0.1877780407189975,1,849.55
MLProbability,0.1877780407189975,1,849.55
MLExpectedValue,0.1877780407189975,1,849.55
SmartHeuristic,0.15637034636826386,1,686.23
MLProbability,0.16851893817545804,1,686.23
MLExpectedValue,0.16851893817545804,1,686.23
SmartHeuristic,0.3805971134940574,0,6.11
MLProbability,0.40879703857213767,0,6.11
MLExpectedValue,0.40879703857213767,0,6.11
SmartHeuristic,0.19302128922012138,0,172.27
MLProbability,0.2096768161575265,0,172.27
MLExpectedValue,0.2096768161575265,0,172.27
SmartHeuristic,0.3777258000311871,0,459.91
MLProbability,0.4058968993184385,0,459.91
MLExpectedValue,0.4058968993184385,0,459.91
SmartHeuristic,0.18186400059050614,1,295.73
MLProbability,0.19721581682555306,0,295.73
MLExpectedValue,0.19721581682555306,0,295.73
SmartHeuristic,0.18821965680324318,1,837.15
MLProbability,0.20432185513356482,1,837.15
MLExpectedValue,0.20432185513356482,1,837.15
SmartHeuristic,0.38007948584728257,1,87.86
MLProbability,0.4082745372235047,1,87.86
MLExpectedValue,0.4082745372235047,1,87.86
SmartHeuristic,0.37993780733782734,1,110.24
MLProbability,0.4081315000142358,0,110.24
MLExpectedValue,0.4081315000142358,0,110.24
SmartHeuristic,0.2992913737809837,1,141.4
MLProbability,0.3249321838177572,0,141.4
MLExpectedValue,0.3249321838177572,0,141.4
SmartHeuristic,0.3783023068147394,1,368.73
MLProbability,0.4064795446752955,1,368.73
MLExpectedValue,0.4064795446752955,1,368.73
SmartHeuristic,0.3788448006117109,0,282.96
MLProbability,0.407027653751527,0,282.96
MLExpectedValue,0.407027653751527,0,282.96
SmartHeuristic,0.17193582110753622,1,60.4
MLProbability,0.1860757942023208,0,60.4
MLExpectedValue,0.1860757942023208,0,60.4
SmartHeuristic,0.18582437445138567,1,20.96
MLProbability,0.20164615323757448,0,20.96
MLExpectedValue,0.20164615323757448,0,20.96
SmartHeuristic,0.37886602190845137,0,773.18
MLProbability,0.4070490915333346,0,773.18
MLExpectedValue,0.4070490915333346,0,773.18
SmartHeuristic,0.3605357574615299,0,128.08
MLProbability,0.3884421281059253,0,128.08
MLExpectedValue,0.3884421281059253,0,128.08
SmartHeuristic,0.37668909918951243,0,623.96
MLProbability,0.4048487154963586,0,623.96
MLExpectedValue,0.4048487154963586,0,623.96
SmartHeuristic,0.31991613432946214,0,194.99
MLProbability,0.31991613432946214,0,194.99
MLExpectedValue,0.31991613432946214,0,194.99
SmartHeuristic,0.18783185941559113,0,287.9
MLProbability,0.20053377082173116,0,287.9
MLExpectedValue,0.20053377082173116,0,287.9
SmartHeuristic,0.19487593388492422,1,87.32
MLProbability,0.2117420031088904,0,87.32
MLExpectedValue,0.2117420031088904,0,87.32
SmartHeuristic,0.18204411295512646,0,414.08
MLProbability,0.19741747169265114,0,414.08
MLExpectedValue,0.19741747169265114,0,414.08
SmartHeuristic,0.15701399304958183,1,461.21
MLProbability,0.16924701121347696,1,461.21
MLExpectedValue,0.16924701121347696,1,461.21
SmartHeuristic,0.37859595274534524,0,322.3
MLProbability,0.4067762494831782,1,322.3
MLExpectedValue,0.4067762494831782,1,322.3
SmartHeuristic,0.1709105401262251,0,89.88
MLProbability,0.18492269458970387,0,89.88
MLExpectedValue,0.18492269458970387,0,89.88
SmartHeuristic,0.17866243956137978,0,530.44
MLProbability,0.19362866956656669,0,530.44
MLExpectedValue,0.19362866956656669,0,530.44
SmartHeuristic,0.1622241251722388,1,197.64
MLProbability,0.1751341240351762,0,197.64
MLExpectedValue,0.1751341240351762,0,197.64
SmartHeuristic,0.1606130008529631,0,476.47
MLProbability,0.17331489535387506,0,476.47
MLExpectedValue,0.17331489535387506,0,476.47
SmartHeuristic,0.18961710759561004,0,26.48
MLProbability,0.20588156317282374,0,26.48
MLExpectedValue,0.20588156317282374,0,26.48
SmartHeuristic,0.15731924295918928,0,589.0
MLProbability,0.15731924295918928,0,589.0
MLExpectedValue,0.15731924295918928,0,589.0
SmartHeuristic,0.15874013949199917,0,213.95
MLProbability,0.17119872170323724,0,213.95
MLExpectedValue,0.17119872170323724,0,213.95
SmartHeuristic,0.1698560438525677,0,29.02
MLProbability,0.18373622827559977,0,29.02
MLExpectedValue,0.18373622827559977,0,29.02
SmartHeuristic,0.29521280185166265,0,178.49
MLProbability,0.32062759643745936,1,178.49
MLExpectedValue,0.32062759643745936,1,178.49
SmartHeuristic,0.18776544707482606,0,262.13
MLProbability,0.20381469343690942,0,262.13
MLExpectedValue,0.20381469343690942,0,262.13
SmartHeuristic,0.15281980523498864,1,722.67
MLProbability,0.18968011674585386,0,722.67
MLExpectedValue,0.18968011674585386,0,722.67
SmartHeuristic,0.17813537374236066,1,599.61
MLProbability,0.19303764576720608,1,599.61
MLExpectedValue,0.19303764576720608,1,599.61
SmartHeuristic,0.15142964122334912,0,543.14
MLProbability,0.16292455752171067,1,543.14
MLExpectedValue,0.16292455752171067,1,543.14
SmartHeuristic,0.1724777543008176,1,334.88
MLProbability,0.18668509021962812,0,334.88
MLExpectedValue,0.18668509021962812,0,334.88
SmartHeuristic,0.31511784021696215,1,143.39
MLProbability,0.341545874354477,1,143.39
MLExpectedValue,0.341545874354477,1,143.39
SmartHeuristic,0.17113416153672575,0,852.77
MLProbability,0.18517423593524007,0,852.77
MLExpectedValue,0.18517423593524007,0,852.77
SmartHeuristic,0.19357242513051695,0,33.77
MLProbability,0.2102907043247445,0,33.77
MLExpectedValue,0.2102907043247445,0,33.77
SmartHeuristic,0.24850557103605095,0,184.24
MLProbability,0.27065113237062516,0,184.24
MLExpectedValue,0.27065113237062516,0,184.24
SmartHeuristic,0.3758457947482353,0,757.49
MLProbability,0.40399564857410086,0,757.49
MLExpectedValue,0.40399564857410086,0,757.49
SmartHeuristic,0.1699617592008482,0,569.97
MLProbability,0.18385519707157716,1,569.97
MLExpectedValue,0.18385519707157716,1,569.97
SmartHeuristic,0.19474781143866185,0,84.94
MLProbability,0.21159939346956327,0,84.94
MLExpectedValue,0.21159939346956327,0,84.94
SmartHeuristic,0.18437523444575937,0,206.24
MLProbability,0.20002595714508964,0,206.24
MLExpectedValue,0.20002595714508964,0,206.24
SmartHeuristic,0.3785554727890068,0,328.7
MLProbability,0.40673535057105503,0,328.7
MLExpectedValue,0.40673535057105503,0,328.7
SmartHeuristic,0.1985748306040239,0,25.15
MLProbability,0.21585544415336033,0,25.15
MLExpectedValue,0.21585544415336033,0,25.15
SmartHeuristic,0.2859249698329829,0,494.37
MLProbability,0.3107895235481323,0,494.37
MLExpectedValue,0.3107895235481323,0,494.37
SmartHeuristic,0.17533183698507349,0,260.51
MLProbability,0.18989165407113703,0,260.51
MLExpectedValue,0.18989165407113703,0,260.51
SmartHeuristic,0.2895672220319174,0,403.18
MLProbability,0.3146534502743522,0,403.18
MLExpectedValue,0.3146534502743522,0,403.18
SmartHeuristic,0.3805980634161375,1,5.96
MLProbability,0.40879799730778194,1,5.96
MLExpectedValue,0.40879799730778194,1,5.96
SmartHeuristic,0.4351841068507655,1,15.21
MLProbability,0.4351841068507655,1,15.21
MLExpectedValue,0.4351841068507655,1,15.21
SmartHeuristic,0.37560299140802544,0,795.95
MLProbability,0.40374996423175036,1,795.95
MLExpectedValue,0.40374996423175036,1,795.95
SmartHeuristic,0.27080661527849836,1,154.35
MLProbability,0.27080661527849836,1,154.35
MLExpectedValue,0.27080661527849836,1,154.35
SmartHeuristic,0.15634175208654597,0,652.06
MLProbability,0.16848658924175197,1,652.06
MLExpectedValue,0.16848658924175197,1,652.06
SmartHeuristic,0.38028651770692184,1,55.16
MLProbability,0.40848353540580284,0,55.16
MLExpectedValue,0.40848353540580284,0,55.16
SmartHeuristic,0.1916641049773067,0,13.8
MLProbability,0.2081644336386742,1,13.8
MLExpectedValue,0.2081644336386742,1,13.8
SmartHeuristic,0.18854340197470235,0,62.54
MLProbability,0.20468327868868041,0,62.54
MLExpectedValue,0.20468327868868041,0,62.54
SmartHeuristic,0.165927946412994,1,298.97
MLProbability,0.17931204654678215,0,298.97
MLExpectedValue,0.17931204654678215,0,298.97
SmartHeuristic,0.376821009333991,1,603.08
MLProbability,0.40498211846762794,0,603.08
MLExpectedValue,0.40498211846762794,0,603.08
SmartHeuristic,0.15495756077421222,0,654.34
MLProbability,0.1669202412556397,0,654.34
MLExpectedValue,0.1669202412556397,0,654.34
SmartHeuristic,0.1842491016615671,0,276.32
MLProbability,0.19988488593390366,0,276.32
MLExpectedValue,0.19988488593390366,0,276.32
SmartHeuristic,0.15903259707508158,0,64.38
MLProbability,0.17152927207308102,0,64.38
MLExpectedValue,0.17152927207308102,0,64.38
SmartHeuristic,0.17145021360656792,0,69.23
MLProbability,0.18552970856675274,0,69.23
MLExpectedValue,0.18552970856675274,0,69.23
SmartHeuristic,0.1678029336066089,0,680.12
MLProbability,0.18142470369333613,0,680.12
MLExpectedValue,0.18142470369333613,0,680.12
SmartHeuristic,0.17102368979262,0,705.54
MLProbability,0.18504997430244666,0,705.54
MLExpectedValue,0.18504997430244666,0,705.54
SmartHeuristic,0.1570240506185674,0,240.52
MLProbability,0.16925838665908066,0,240.52
MLExpectedValue,0.16925838665908066,0,240.52
SmartHeuristic,0.16995608424045597,0,104.68
MLProbability,0.18384881077696688,0,104.68
MLExpectedValue,0.18384881077696688,0,104.68
SmartHeuristic,0.1777217873109497,0,444.24
MLProbability,0.19257377746737558,0,444.24
MLExpectedValue,0.19257377746737558,0,444.24
SmartHeuristic,0.1807511994220119,1,73.5
MLProbability,0.19596956327241638,1,73.5
MLExpectedValue,0.19596956327241638,1,73.5
SmartHeuristic,0.18137507444156867,0,309.62
MLProbability,0.19666833147555657,0,309.62
MLExpectedValue,0.19666833147555657,0,309.62
SmartHeuristic,0.18701691170096962,0,271.65
MLProbability,0.20297866529385564,0,271.65
MLExpectedValue,0.20297866529385564,0,271.65
SmartHeuristic,0.3801175980374598,1,81.84
MLProbability,0.4083130130957563,1,81.84
MLExpectedValue,0.4083130130957563,1,81.84
SmartHeuristic,0.1769958315325903,1,444.28
MLProbability,0.1917593635256594,1,444.28
MLExpectedValue,0.1917593635256594,1,444.28
SmartHeuristic,0.17203360258969944,1,8.36
MLProbability,0.18618574018327305,0,8.36
MLExpectedValue,0.18618574018327305,0,8.36
SmartHeuristic,0.16342893942130346,0,335.65
MLProbability,0.17649382285643372,0,335.65
MLExpectedValue,0.17649382285643372,0,335.65
SmartHeuristic,0.18128002375995675,0,303.87
MLProbability,0.19656188278855297,0,303.87
MLExpectedValue,0.19656188278855297,0,303.87
SmartHeuristic,0.3252818944076951,0,384.26
MLProbability,0.3521406482217334,1,384.26
MLExpectedValue,0.3521406482217334,1,384.26
SmartHeuristic,0.38027493084183805,1,56.99
MLProbability,0.40847183909194507,1,56.99
MLExpectedValue,0.40847183909194507,1,56.99
SmartHeuristic,0.17199573571927917,0,32.35
MLProbability,0.18614316301785222,0,32.35
MLExpectedValue,0.18614316301785222,0,32.35
SmartHeuristic,0.379092421801283,0,243.82
MLProbability,0.4072777861342869,0,243.82
MLExpectedValue,0.4072777861342869,0,243.82
SmartHeuristic,0.17125050049093782,1,76.86
MLProbability,0.1853050910297516,0,76.86
MLExpectedValue,0.1853050910297516,0,76.86
SmartHeuristic,0.20121995138934226,0,373.62
MLProbability,0.21879259224613565,0,373.62
MLExpectedValue,0.21879259224613565,0,373.62
SmartHeuristic,0.15103644566386704,0,571.3
MLProbability,0.16247892332543984,0,571.3
MLExpectedValue,0.16247892332543984,0,571.3
SmartHeuristic,0.336832783015287,0,634.74
MLProbability,0.3641106079438935,0,634.74
MLExpectedValue,0.3641106079438935,0,634.74
SmartHeuristic,0.18615566175296175,0,148.33
MLProbability,0.20201639750607056,0,148.33
MLExpectedValue,0.20201639750607056,0,148.33
SmartHeuristic,0.1969958943969233,0,52.82
MLProbability,0.21410043006468246,0,52.82
MLExpectedValue,0.21410043006468246,0,52.82
SmartHeuristic,0.385985713418059,1,730.93
MLProbability,0.385985713418059,1,730.93
MLExpectedValue,0.385985713418059,1,730.93
SmartHeuristic,0.2873762567007014,0,112.45
MLProbability,0.31233005103720207,0,112.45
MLExpectedValue,0.31233005103720207,0,112.45
SmartHeuristic,0.18013774740800564,0,705.33
MLProbability,0.19528228286267502,0,705.33
MLExpectedValue,0.19528228286267502,0,705.33
SmartHeuristic,0.20191522496193615,0,191.37
MLProbability,0.20191522496193615,0,191.37
MLExpectedValue,0.20191522496193615,0,191.37
SmartHeuristic,0.15644127404599098,0,317.82
MLProbability,0.16859917775311908,0,317.82
MLExpectedValue,0.16859917775311908,0,317.82
SmartHeuristic,0.1961665819679002,0,33.7
MLProbability,0.2131781111849517,1,33.7
MLExpectedValue,0.2131781111849517,1,33.7
SmartHeuristic,0.19471489157391783,1,152.05
MLProbability,0.21156274987582654,0,152.05
MLExpectedValue,0.21156274987582654,0,152.05
SmartHeuristic,0.18762959897832937,0,39.2
MLProbability,0.20366298777606467,0,39.2
MLExpectedValue,0.20366298777606467,0,39.2
SmartHeuristic,0.14756511568385305,0,50.97
MLProbability,0.18228117226003485,0,50.97
MLExpectedValue,0.18228117226003485,0,50.97
SmartHeuristic,0.19200498790846474,0,126.28
MLProbability,0.20854438698355376,0,126.28
MLExpectedValue,0.20854438698355376,0,126.28
SmartHeuristic,0.37965524627450725,0,154.88
MLProbability,0.4078461974330535,0,154.88
MLExpectedValue,0.4078461974330535,0,154.88
SmartHeuristic,0.17364126050868914,1,220.63
MLProbability,0.18799275538101465,1,220.63
MLExpectedValue,0.18799275538101465,1,220.63
SmartHeuristic,0.16188425031615097,0,51.05
MLProbability,0.17475044206859733,1,51.05
MLExpectedValue,0.17475044206859733,1,51.05
SmartHeuristic,0.37938855430573704,1,197.02
MLProbability,0.40757687910369056,1,197.02
MLExpectedValue,0.40757687910369056,1,197.02
SmartHeuristic,0.17295819017632,0,599.84
MLProbability,0.18722512955317785,0,599.84
MLExpectedValue,0.18722512955317785,0,599.84
SmartHeuristic,0.30520302985178566,0,80.16
MLProbability,0.30520302985178566,0,80.16
MLExpectedValue,0.30520302985178566,0,80.16
SmartHeuristic,0.19321764575738398,1,169.19
MLProbability,0.20989554786306153,0,169.19
MLExpectedValue,0.20989554786306153,0,169.19
SmartHeuristic,0.1875846319375723,1,110.57
MLProbability,0.20361276966657882,1,110.57
MLExpectedValue,0.20361276966657882,1,110.57
SmartHeuristic,0.19721357263794653,0,693.76
MLProbability,0.21434246094272244,0,693.76
MLExpectedValue,0.21434246094272244,0,693.76
SmartHeuristic,0.17769163953025857,0,230.25
MLProbability,0.19253996122616995,0,230.25
